scenario_id,route_type,current_class,completed,termination_reason,time_to_goal_s,final_distance_to_goal,initial_distance_to_goal,distance_reduction_ratio,mean_cross_track_error,max_cross_track_error,wrong_way_ticks,total_ticks,wrong_way_ratio,current_limited,invalid_state,collision_flag,route_progress_fraction
0,straight_east,zero_current,True,goal_reached,175.0,38.86571790510334,2400.0,0.9838059508728736,0.0,0.0,0,875,0.0,False,False,False,1.0
1,straight_diagonal,zero_current,False,time_limit,,801.1353084573698,2683.281572999748,0.7014344985190099,307.0866561865178,726.6067775201931,427,1500,0.2846666666666667,False,False,False,1.0
2,one_turn,zero_current,False,time_limit,,1801.1274725073263,2683.281572999748,0.32875942255520585,282.1122379113034,694.7175591785626,329,1500,0.21933333333333332,False,False,False,1.0
3,s_turn,zero_current,False,time_limit,,1953.0469348346783,2683.281572999748,0.2721423817436763,285.79461111061744,695.3402939267812,571,1500,0.38066666666666665,False,False,False,0.6666666666666666
4,bezier_fillet,zero_current,False,time_limit,,1119.8324924497324,1697.0562748477141,0.34013237566313415,408.29760013253593,1030.582074588017,596,1500,0.3973333333333333,False,False,False,0.5
5,straight_east,normal_current,True,goal_reached,161.0,39.397951889924116,2400.0,0.9835841867125317,0.0,0.0,0,805,0.0,False,False,False,1.0
6,straight_diagonal,normal_current,False,time_limit,,631.5289012390328,2683.281572999748,0.7646430745122953,318.6527919523976,575.1714871280197,486,1500,0.324,False,False,False,1.0
7,one_turn,normal_current,False,time_limit,,1515.3028906725992,2683.281572999748,0.43527995499235606,313.0957574102855,819.3309939373185,289,1500,0.19266666666666668,False,False,False,1.0
8,s_turn,normal_current,False,time_limit,,1818.0600802018864,2683.281572999748,0.32244901224831046,301.542651552764,818.5615839270149,612,1500,0.408,False,False,False,0.6666666666666666
9,bezier_fillet,normal_current,False,time_limit,,1064.8106285417462,1697.0562748477141,0.3725543198988512,379.74410586033275,958.9149547051893,717,1500,0.478,False,False,False,0.4
10,straight_east,normal_current,True,goal_reached,141.20000000000002,39.41475254492161,2400.0,0.983577186439616,0.0,0.0,0,706,0.0,False,False,False,1.0
11,straight_diagonal,normal_current,True,goal_reached,292.40000000000003,38.224565999895205,2683.281572999748,0.9857545453356344,296.74968575976993,513.8118265309145,219,1462,0.14979480164158687,False,False,False,1.0
12,one_turn,normal_current,False,time_limit,,1117.0821431257448,2683.281572999748,0.5836880652532809,494.5386447834743,1080.3513920383211,244,1500,0.16266666666666665,False,False,False,1.0
13,s_turn,normal_current,False,time_limit,,1833.2282104267256,2683.281572999748,0.31679618386925884,473.71705186318286,1081.1721369449983,584,1500,0.3893333333333333,False,False,False,1.0
14,bezier_fillet,normal_current,False,time_limit,,1227.7598765115595,1697.0562748477141,0.27653555470826513,287.09833246099737,757.5007727945292,553,1500,0.36866666666666664,False,False,False,0.3
15,straight_east,normal_current,True,goal_reached,127.4,39.209373466751,2400.0,0.9836627610555204,0.0,0.0,0,637,0.0,False,False,False,1.0
16,straight_diagonal,normal_current,False,time_limit,,279.0865962229473,2683.281572999748,0.895990566539409,299.4815928344357,571.8649829921758,225,1500,0.15,False,False,False,1.0
17,one_turn,normal_current,False,time_limit,,522.6681702134924,2683.281572999748,0.8052130736212001,827.9218698131125,1379.0004870432895,457,1500,0.30466666666666664,False,False,False,1.0
18,s_turn,normal_current,False,time_limit,,984.7597301459986,2683.281572999748,0.6330017169815331,822.8729418410768,1372.3037567552242,566,1500,0.37733333333333335,False,False,False,0.6666666666666666
19,bezier_fillet,normal_current,False,time_limit,,865.7572745149936,1697.0562748477141,0.48984763360738726,235.9573658168168,622.8298316268371,586,1500,0.39066666666666666,False,False,False,0.3
20,straight_east,current_limited,True,goal_reached,112.80000000000001,36.790319012196505,2400.0,0.9846707004115848,0.0,0.0,0,564,0.0,True,False,False,1.0
21,straight_diagonal,current_limited,False,current_limited_safe_stop,,1764.9242709939335,2683.281572999748,0.3422515591530508,407.55158203396843,644.8609509397966,792,1500,0.528,True,False,False,1.0
22,one_turn,current_limited,False,current_limited_safe_stop,,1649.7776523296166,2683.281572999748,0.3851641702718272,1395.3694342554425,2777.689168221067,1212,1500,0.808,True,False,False,1.0
23,s_turn,current_limited,False,current_limited_safe_stop,,1367.10380136747,2683.281572999748,0.49051049464066127,1575.019813193897,2927.7310130149926,1308,1500,0.872,True,False,False,0.6666666666666666
24,bezier_fillet,current_limited,False,current_limited_safe_stop,,2222.903195940584,1697.0562748477141,0.0,199.85885159860047,439.006190974241,1351,1500,0.9006666666666666,True,False,False,0.3
25,straight_east,zero_current,True,goal_reached,175.0,38.86571790510334,2400.0,0.9838059508728736,0.0,0.0,0,875,0.0,False,False,False,1.0
26,straight_diagonal,zero_current,False,time_limit,,801.1353084573698,2683.281572999748,0.7014344985190099,307.0866561865178,726.6067775201931,427,1500,0.2846666666666667,False,False,False,1.0
27,one_turn,zero_current,False,time_limit,,1801.1274725073263,2683.281572999748,0.32875942255520585,282.1122379113034,694.7175591785626,329,1500,0.21933333333333332,False,False,False,1.0
28,s_turn,zero_current,False,time_limit,,1953.0469348346783,2683.281572999748,0.2721423817436763,285.79461111061744,695.3402939267812,571,1500,0.38066666666666665,False,False,False,0.6666666666666666
29,bezier_fillet,zero_current,False,time_limit,,1119.8324924497324,1697.0562748477141,0.34013237566313415,408.29760013253593,1030.582074588017,596,1500,0.3973333333333333,False,False,False,0.5
30,straight_east,normal_current,False,time_limit,,704.6489408403353,2400.0,0.7063962746498602,264.8892181907182,465.4044420336895,438,1500,0.292,False,False,False,1.0
31,straight_diagonal,normal_current,False,time_limit,,528.3051494285953,2683.281572999748,0.8031122955024129,352.7465730675921,582.6924440896535,266,1500,0.17733333333333334,False,False,False,1.0
32,one_turn,normal_current,False,time_limit,,2328.3849958903984,2683.281572999748,0.13226214523308352,271.93438122929354,637.7893088435069,717,1500,0.478,False,False,False,0.5
33,s_turn,normal_current,False,time_limit,,2343.2008488166193,2683.281572999748,0.12674060285180533,310.4468269738346,740.5265024266225,675,1500,0.45,False,False,False,0.3333333333333333
34,bezier_fillet,normal_current,False,time_limit,,1569.445374140599,1697.0562748477141,0.07519544436943695,358.1335662291289,795.6686465077776,696,1500,0.464,False,False,False,0.2
35,straight_east,normal_current,False,time_limit,,148.00852826375177,2400.0,0.9383297798901034,457.26045166659526,823.3457749520217,119,1500,0.07933333333333334,False,False,False,1.0
36,straight_diagonal,normal_current,False,time_limit,,239.0688611677102,2683.281572999748,0.9109042958542567,697.1177430145499,1023.1960440956091,0,1500,0.0,False,False,False,1.0
37,one_turn,normal_current,False,time_limit,,1259.862584823137,2683.281572999748,0.5304769363378118,265.9828863388092,474.2872697030248,0,1500,0.0,False,False,False,1.0
38,s_turn,normal_current,False,time_limit,,3218.0561214311742,2683.281572999748,0.0,455.28853662487654,1585.5836175355216,928,1500,0.6186666666666667,False,False,False,0.3333333333333333
39,bezier_fillet,normal_current,False,time_limit,,2580.2111403850326,1697.0562748477141,0.0,501.6749080031198,1430.762959458975,1030,1500,0.6866666666666666,False,False,False,0.1
40,straight_east,normal_current,False,time_limit,,917.9204872726262,2400.0,0.6175331303030723,929.875952964621,1273.456081974542,0,1500,0.0,False,False,False,1.0
41,straight_diagonal,normal_current,False,time_limit,,1626.4779323741213,2683.281572999748,0.3938474632180265,1255.2650650412984,1734.7267317814587,0,1500,0.0,False,False,False,1.0
42,one_turn,normal_current,False,time_limit,,1615.481377356966,2683.281572999748,0.39794563730747246,351.7356883614954,720.6219590276255,0,1500,0.0,False,False,False,1.0
43,s_turn,normal_current,False,time_limit,,2196.8679097843124,2683.281572999748,0.18127566935573375,245.04296533434783,566.5854737868167,530,1500,0.35333333333333333,False,False,False,0.3333333333333333
44,bezier_fillet,normal_current,False,time_limit,,1793.2705242345721,1697.0562748477141,0.0,169.49637637939264,378.2879868762979,688,1500,0.45866666666666667,False,False,False,0.2
45,straight_east,current_limited,False,current_limited_safe_stop,,2989.0116710246393,2400.0,0.0,1701.934218740553,2964.157669813815,991,1500,0.6606666666666666,True,False,False,1.0
46,straight_diagonal,current_limited,False,current_limited_safe_stop,,3875.90332160291,2683.281572999748,0.0,1995.7826267284609,3604.4873178297726,1201,1500,0.8006666666666666,True,False,False,1.0
47,one_turn,current_limited,False,current_limited_safe_stop,,3888.5913196088645,2683.281572999748,0.0,1487.0192427173442,2663.594657881492,1273,1500,0.8486666666666667,True,False,False,0.5
48,s_turn,current_limited,False,current_limited_safe_stop,,3875.633336086642,2683.281572999748,0.0,1417.264191985398,2587.125478597084,1352,1500,0.9013333333333333,True,False,False,0.3333333333333333
49,bezier_fillet,current_limited,False,current_limited_safe_stop,,3699.4891723657006,1697.0562748477141,0.0,1364.8598590361971,2542.5700151629576,1460,1500,0.9733333333333334,True,False,False,0.1
50,straight_east,zero_current,True,goal_reached,175.0,38.86571790510334,2400.0,0.9838059508728736,0.0,0.0,0,875,0.0,False,False,False,1.0
51,straight_diagonal,zero_current,False,time_limit,,801.1353084573698,2683.281572999748,0.7014344985190099,307.0866561865178,726.6067775201931,427,1500,0.2846666666666667,False,False,False,1.0
52,one_turn,zero_current,False,time_limit,,1801.1274725073263,2683.281572999748,0.32875942255520585,282.1122379113034,694.7175591785626,329,1500,0.21933333333333332,False,False,False,1.0
53,s_turn,zero_current,False,time_limit,,1953.0469348346783,2683.281572999748,0.2721423817436763,285.79461111061744,695.3402939267812,571,1500,0.38066666666666665,False,False,False,0.6666666666666666
54,bezier_fillet,zero_current,False,time_limit,,1119.8324924497324,1697.0562748477141,0.34013237566313415,408.29760013253593,1030.582074588017,596,1500,0.3973333333333333,False,False,False,0.5
55,straight_east,normal_current,True,goal_reached,194.0,39.6376167327594,2400.0,0.9834843263613503,0.0,0.0,0,970,0.0,False,False,False,1.0
56,straight_diagonal,normal_current,False,time_limit,,791.7132555234984,2683.281572999748,0.7049458903269661,255.82522234349565,684.3352764789649,335,1500,0.22333333333333333,False,False,False,1.0
57,one_turn,normal_current,False,time_limit,,2001.4706716543822,2683.281572999748,0.25409592053477337,250.75145775841762,792.5572400955674,335,1500,0.22333333333333333,False,False,False,1.0
58,s_turn,normal_current,False,time_limit,,2345.5740602578458,2683.281572999748,0.12585615916721155,338.30548745599236,702.1358350016842,584,1500,0.3893333333333333,False,False,False,0.6666666666666666
59,bezier_fillet,normal_current,False,time_limit,,731.7122060549788,1697.0562748477141,0.5688344476846301,198.8187347698479,779.868132885786,563,1500,0.37533333333333335,False,False,False,1.0
60,straight_east,normal_current,False,time_limit,,100.42026262671016,2400.0,0.9581582239055374,0.0,0.0,67,1500,0.04466666666666667,False,False,False,1.0
61,straight_diagonal,normal_current,False,time_limit,,164.79757890125612,2683.281572999748,0.9385835685082343,113.96040667829357,195.0783441737899,138,1500,0.092,False,False,False,1.0
62,one_turn,normal_current,False,time_limit,,1326.9748985842402,2683.281572999748,0.5054656537216249,107.26699765485323,342.820759704035,325,1500,0.21666666666666667,False,False,False,1.0
63,s_turn,normal_current,False,time_limit,,2803.527795715053,2683.281572999748,0.0,378.85842868435384,1126.9723731037088,630,1500,0.42,False,False,False,0.6666666666666666
64,bezier_fillet,normal_current,False,time_limit,,2024.210597006578,1697.0562748477141,0.0,230.54937553573748,656.9747971371299,1023,1500,0.682,False,False,False,0.5
65,straight_east,normal_current,False,time_limit,,638.091522896957,2400.0,0.7341285321262679,0.0,0.0,0,1500,0.0,False,False,False,1.0
66,straight_diagonal,normal_current,False,time_limit,,1608.1023592053887,2683.281572999748,0.4006956350064944,851.077765050841,1348.1814235252878,0,1500,0.0,False,False,False,1.0
67,one_turn,normal_current,False,time_limit,,1549.171984869053,2683.281572999748,0.4226576888324204,33.81493732367289,335.8402524595783,15,1500,0.01,False,False,False,1.0
68,s_turn,normal_current,False,time_limit,,1866.823111540872,2683.281572999748,0.304276103437823,112.85289432201044,399.87340019734745,357,1500,0.238,False,False,False,0.6666666666666666
69,bezier_fillet,normal_current,False,time_limit,,1211.5510964351029,1697.0562748477141,0.28608666996395166,310.8413262741774,1140.0096734438891,805,1500,0.5366666666666666,False,False,False,0.2
70,straight_east,current_limited,False,current_limited_safe_stop,,4730.45974397833,2400.0,0.0,0.0,0.0,1499,1500,0.9993333333333333,True,False,False,1.0
71,straight_diagonal,current_limited,False,current_limited_safe_stop,,4727.751860020814,2683.281572999748,0.0,1459.4742699168276,2805.338002990058,1499,1500,0.9993333333333333,True,False,False,1.0
72,one_turn,current_limited,False,current_limited_safe_stop,,4880.291936902907,2683.281572999748,0.0,0.0,0.0,1499,1500,0.9993333333333333,True,False,False,0.5
73,s_turn,current_limited,False,current_limited_safe_stop,,4880.291936902907,2683.281572999748,0.0,0.0,0.0,1499,1500,0.9993333333333333,True,False,False,0.3333333333333333
74,bezier_fillet,current_limited,False,current_limited_safe_stop,,3510.581384358818,1697.0562748477141,0.0,453.7650433631973,896.9510388304536,1499,1500,0.9993333333333333,True,False,False,0.1
75,straight_east,zero_current,True,goal_reached,175.0,38.86571790510334,2400.0,0.9838059508728736,0.0,0.0,0,875,0.0,False,False,False,1.0
76,straight_diagonal,zero_current,False,time_limit,,801.1353084573698,2683.281572999748,0.7014344985190099,307.0866561865178,726.6067775201931,427,1500,0.2846666666666667,False,False,False,1.0
77,one_turn,zero_current,False,time_limit,,1801.1274725073263,2683.281572999748,0.32875942255520585,282.1122379113034,694.7175591785626,329,1500,0.21933333333333332,False,False,False,1.0
78,s_turn,zero_current,False,time_limit,,1953.0469348346783,2683.281572999748,0.2721423817436763,285.79461111061744,695.3402939267812,571,1500,0.38066666666666665,False,False,False,0.6666666666666666
79,bezier_fillet,zero_current,False,time_limit,,1119.8324924497324,1697.0562748477141,0.34013237566313415,408.29760013253593,1030.582074588017,596,1500,0.3973333333333333,False,False,False,0.5
80,straight_east,normal_current,False,time_limit,,704.6489408403376,2400.0,0.7063962746498593,264.889218190719,465.40444203368907,438,1500,0.292,False,False,False,1.0
81,straight_diagonal,normal_current,False,time_limit,,1066.5834517525816,2683.281572999748,0.6025078163674767,269.048953118443,1060.3454877688298,505,1500,0.33666666666666667,False,False,False,1.0
82,one_turn,normal_current,False,time_limit,,1714.9187478508986,2683.281572999748,0.36088751731942825,271.93438122929433,637.7893088435198,717,1500,0.478,False,False,False,0.5
83,s_turn,normal_current,False,time_limit,,1723.379112832506,2683.281572999748,0.3577345254505394,310.4468269738355,740.5265024266264,675,1500,0.45,False,False,False,0.3333333333333333
84,bezier_fillet,normal_current,False,time_limit,,732.6579259185175,1697.0562748477141,0.5682771769107876,436.274846015497,1075.2629222328273,591,1500,0.394,False,False,False,0.6
85,straight_east,normal_current,False,time_limit,,148.00852826375547,2400.0,0.9383297798901018,457.26045166659617,823.345774952023,119,1500,0.07933333333333334,False,False,False,1.0
86,straight_diagonal,normal_current,False,time_limit,,205.7554996295415,2683.281572999748,0.923319452680652,330.4492780657757,679.1697490421172,154,1500,0.10266666666666667,False,False,False,1.0
87,one_turn,normal_current,False,time_limit,,1742.5603110250668,2683.281572999748,0.35058611494246245,429.34561558216615,873.9363298199933,115,1500,0.07666666666666666,False,False,False,1.0
88,s_turn,normal_current,False,time_limit,,1656.8294530549026,2683.281572999748,0.3825361193075736,455.28853662487444,1585.5836175355157,928,1500,0.6186666666666667,False,False,False,0.3333333333333333
89,bezier_fillet,normal_current,False,time_limit,,470.822701523762,1697.0562748477141,0.722565062513315,495.2806350447874,1392.9883720886803,1034,1500,0.6893333333333334,False,False,False,0.1
90,straight_east,normal_current,False,time_limit,,917.920487272619,2400.0,0.6175331303030753,929.8759529646185,1273.4560819745402,0,1500,0.0,False,False,False,1.0
91,straight_diagonal,normal_current,False,time_limit,,605.432084426037,2683.281572999748,0.774368783910665,627.6806102637283,967.7926772835701,0,1500,0.0,False,False,False,1.0
92,one_turn,normal_current,False,time_limit,,2053.6267262566707,2683.281572999748,0.23465850661328871,362.45349274041985,720.6219590276294,287,1500,0.19133333333333333,False,False,False,1.0
93,s_turn,normal_current,False,time_limit,,2403.938615593771,2683.281572999748,0.10410497363259877,245.0429653343598,566.5854737868185,530,1500,0.35333333333333333,False,False,False,0.3333333333333333
94,bezier_fillet,normal_current,False,time_limit,,1636.9017475214298,1697.0562748477141,0.035446395159572604,159.58278826179273,329.63038012451955,682,1500,0.45466666666666666,False,False,False,0.2
95,straight_east,current_limited,False,current_limited_safe_stop,,2989.0116710246334,2400.0,0.0,1701.9342187405532,2964.1576698138097,991,1500,0.6606666666666666,True,False,False,1.0
96,straight_diagonal,current_limited,False,current_limited_safe_stop,,2306.65976999211,2683.281572999748,0.1403586588889355,1185.93946297989,1887.4493664375357,786,1500,0.524,True,False,False,1.0
97,one_turn,current_limited,False,current_limited_safe_stop,,1633.6653885089306,2683.281572999748,0.39116885646757127,1558.7472400009162,2770.1488731482204,1273,1500,0.8486666666666667,True,False,False,0.5
98,s_turn,current_limited,False,current_limited_safe_stop,,1613.1743422581585,2683.281572999748,0.3988054185253744,1417.2641919853945,2587.1254785970773,1352,1500,0.9013333333333333,True,False,False,0.3333333333333333
99,bezier_fillet,current_limited,False,current_limited_safe_stop,,1322.0463603392132,1697.0562748477141,0.22097671130095706,1305.3859073106762,2449.893375458741,1455,1500,0.97,True,False,False,0.1
