simulation_time_ms,old_route_id,new_route_id,classification,time_since_prior_replan_ms,guidance_mode,cross_track_error
14,,route_1788282898309,C. Correct user destination change,0,UNKNOWN,0
830.7999999998137,route_1788282898309,route_1788282899799,F. Incorrect risk jitter replan,816.7999999998137,UNKNOWN,0
4016.9000000003725,route_1788282899799,route_1788282903255,E. Incorrect tiny hazard-movement replan,3186.100000000559,UNKNOWN,0
5885,route_1788282903255,route_1788282904910,F. Incorrect risk jitter replan,1868.0999999996275,UNKNOWN,0
6395.200000000186,route_1788282904910,route_1788282905665,F. Incorrect risk jitter replan,510.20000000018626,UNKNOWN,0
8761.5,route_1788282905665,route_1788282908101,E. Incorrect tiny hazard-movement replan,2366.2999999998137,UNKNOWN,0
10577.299999999814,route_1788282908101,route_1788282909940,F. Incorrect risk jitter replan,1815.7999999998137,UNKNOWN,0
19143.400000000373,route_1788282909940,route_1788282918329,E. Incorrect tiny hazard-movement replan,8566.100000000559,UNKNOWN,0
22575.5,route_1788282918329,route_1788282921803,E. Incorrect tiny hazard-movement replan,3432.0999999996275,UNKNOWN,0
27424.900000000373,route_1788282921803,route_1788282926705,E. Incorrect tiny hazard-movement replan,4849.4000000003725,UNKNOWN,0
29759.599999999627,route_1788282926705,route_1788282929087,E. Incorrect tiny hazard-movement replan,2334.699999999255,UNKNOWN,0
33174,route_1788282929087,route_1788282932317,E. Incorrect tiny hazard-movement replan,3414.4000000003725,UNKNOWN,0
34460.5,route_1788282932317,route_1788282933836,F. Incorrect risk jitter replan,1286.5,UNKNOWN,0
43399.299999999814,route_1788282933836,route_1788282942472,E. Incorrect tiny hazard-movement replan,8938.799999999814,UNKNOWN,0
43732.799999999814,route_1788282942472,route_1788282943109,F. Incorrect risk jitter replan,333.5,UNKNOWN,0
45570.299999999814,route_1788282943109,route_1788282944633,F. Incorrect risk jitter replan,1837.5,UNKNOWN,0
47742.799999999814,route_1788282944633,route_1788282947117,E. Incorrect tiny hazard-movement replan,2172.5,UNKNOWN,0
49812.09999999963,route_1788282947117,route_1788282949107,E. Incorrect tiny hazard-movement replan,2069.2999999998137,UNKNOWN,0
51531.59999999963,route_1788282949107,route_1788282950618,F. Incorrect risk jitter replan,1719.5,UNKNOWN,0
54889.40000000037,route_1788282950618,route_1788282954153,E. Incorrect tiny hazard-movement replan,3357.800000000745,UNKNOWN,0
56298.09999999963,route_1788282954153,route_1788282955673,F. Incorrect risk jitter replan,1408.699999999255,UNKNOWN,0
58054.200000000186,route_1788282955673,route_1788282957382,F. Incorrect risk jitter replan,1756.1000000005588,UNKNOWN,0
59459,route_1788282957382,route_1788282958834,F. Incorrect risk jitter replan,1404.7999999998137,UNKNOWN,0
62353.700000000186,route_1788282958834,route_1788282961685,E. Incorrect tiny hazard-movement replan,2894.7000000001863,UNKNOWN,0
64156.40000000037,route_1788282961685,route_1788282963399,F. Incorrect risk jitter replan,1802.7000000001863,UNKNOWN,0
65550.29999999981,route_1788282963399,route_1788282964926,F. Incorrect risk jitter replan,1393.8999999994412,UNKNOWN,0
69636.29999999981,route_1788282964926,route_1788282968710,E. Incorrect tiny hazard-movement replan,4086.0,UNKNOWN,0
69931.40000000037,route_1788282968710,route_1788282969306,F. Incorrect risk jitter replan,295.1000000005588,UNKNOWN,0
71797.29999999981,route_1788282969306,route_1788282970833,F. Incorrect risk jitter replan,1865.8999999994412,UNKNOWN,0
