scenario_id,priority_rank,priority_category,scenario_family,vessel_speed,ice_conc,iceberg_dist_m,route_blocked,visibility_nm,baseline_action,reviewer_id,review_status,selected_action,rationale
POLARIS_SCENARIO_0014,1,HIGH_RISK,EMERGENCY,0.0,0.05,3309.0,False,7.0,emergency_response,,UNREVIEWED,,
POLARIS_SCENARIO_0034,1,HIGH_RISK,EMERGENCY,0.0,0.12,3923.0,False,9.2,emergency_response,,UNREVIEWED,,
POLARIS_SCENARIO_0054,1,HIGH_RISK,EMERGENCY,0.0,0.05,2509.0,False,8.1,emergency_response,,UNREVIEWED,,
POLARIS_SCENARIO_0074,1,HIGH_RISK,EMERGENCY,0.0,0.12,2758.0,False,7.8,emergency_response,,UNREVIEWED,,
POLARIS_SCENARIO_0094,1,HIGH_RISK,EMERGENCY,0.0,0.08,2113.0,False,8.8,emergency_response,,UNREVIEWED,,
POLARIS_SCENARIO_0114,1,HIGH_RISK,EMERGENCY,0.0,0.15,3731.0,False,8.0,emergency_response,,UNREVIEWED,,
POLARIS_SCENARIO_0134,1,HIGH_RISK,EMERGENCY,0.0,0.08,3012.0,False,8.8,emergency_response,,UNREVIEWED,,
POLARIS_SCENARIO_0154,1,HIGH_RISK,EMERGENCY,0.0,0.22,4225.0,False,9.6,emergency_response,,UNREVIEWED,,
POLARIS_SCENARIO_0174,1,HIGH_RISK,EMERGENCY,0.0,0.18,4125.0,False,6.0,emergency_response,,UNREVIEWED,,
POLARIS_SCENARIO_0194,1,HIGH_RISK,EMERGENCY,0.0,0.09,3254.0,False,7.5,emergency_response,,UNREVIEWED,,
POLARIS_SCENARIO_0214,1,HIGH_RISK,EMERGENCY,0.0,0.19,3055.0,False,5.9,emergency_response,,UNREVIEWED,,
POLARIS_SCENARIO_0234,1,HIGH_RISK,EMERGENCY,0.0,0.19,4632.0,False,9.2,emergency_response,,UNREVIEWED,,
POLARIS_SCENARIO_0254,1,HIGH_RISK,EMERGENCY,0.0,0.13,4946.0,False,8.5,emergency_response,,UNREVIEWED,,
POLARIS_SCENARIO_0274,1,HIGH_RISK,EMERGENCY,0.0,0.05,3468.0,False,9.8,emergency_response,,UNREVIEWED,,
POLARIS_SCENARIO_0294,1,HIGH_RISK,EMERGENCY,0.0,0.11,3181.0,False,9.1,emergency_response,,UNREVIEWED,,
POLARIS_SCENARIO_0314,1,HIGH_RISK,EMERGENCY,0.0,0.18,3319.0,False,7.9,emergency_response,,UNREVIEWED,,
POLARIS_SCENARIO_0334,1,HIGH_RISK,EMERGENCY,0.0,0.1,3587.0,False,9.6,emergency_response,,UNREVIEWED,,
POLARIS_SCENARIO_0354,1,HIGH_RISK,EMERGENCY,0.0,0.12,3280.0,False,6.9,emergency_response,,UNREVIEWED,,
POLARIS_SCENARIO_0374,1,HIGH_RISK,EMERGENCY,0.0,0.08,2504.0,False,6.0,emergency_response,,UNREVIEWED,,
POLARIS_SCENARIO_0394,1,HIGH_RISK,EMERGENCY,0.0,0.18,4024.0,False,5.6,emergency_response,,UNREVIEWED,,
POLARIS_SCENARIO_0414,1,HIGH_RISK,EMERGENCY,0.0,0.2,3321.0,False,8.4,emergency_response,,UNREVIEWED,,
POLARIS_SCENARIO_0434,1,HIGH_RISK,EMERGENCY,0.0,0.14,3880.0,False,5.7,emergency_response,,UNREVIEWED,,
POLARIS_SCENARIO_0454,1,HIGH_RISK,EMERGENCY,0.0,0.21,4446.0,False,5.9,emergency_response,,UNREVIEWED,,
POLARIS_SCENARIO_0474,1,HIGH_RISK,EMERGENCY,0.0,0.16,2506.0,False,6.9,emergency_response,,UNREVIEWED,,
POLARIS_SCENARIO_0494,1,HIGH_RISK,EMERGENCY,0.0,0.19,3937.0,False,5.7,emergency_response,,UNREVIEWED,,
POLARIS_SCENARIO_0006,2,HIGH_RISK,BLOCKED_ROUTE,13.3,0.24,258.0,True,5.0,reroute,,UNREVIEWED,,
POLARIS_SCENARIO_0008,2,HIGH_RISK,HEAVY_ICE_POOR_VISIBILITY,16.2,0.78,4702.0,False,0.3,hold_position,,UNREVIEWED,,
POLARIS_SCENARIO_0012,2,HIGH_RISK,ESCORT_UNAVAILABLE,14.8,0.76,2691.0,False,7.6,reroute,,UNREVIEWED,,
POLARIS_SCENARIO_0015,2,HIGH_RISK,MULTIPLE_HAZARDS,13.9,0.66,444.0,False,0.8,slow_down,,UNREVIEWED,,
POLARIS_SCENARIO_0016,2,HIGH_RISK,CONFLICTING_AMBIGUOUS,13.9,0.75,448.0,False,1.1,slow_down,,UNREVIEWED,,
POLARIS_SCENARIO_0017,2,HIGH_RISK,LOW_CONFIDENCE,14.6,0.7,344.0,False,0.5,slow_down,,UNREVIEWED,,
POLARIS_SCENARIO_0026,2,HIGH_RISK,BLOCKED_ROUTE,16.5,0.09,248.0,True,9.2,reroute,,UNREVIEWED,,
